CityName,CityId,DistrictName,CityHasWarehouse,HasRoad,Roads
Abrantes,1,Santarém,Yes,Yes,3
Águeda,2,Aveiro,No,Yes,4
Albufeira,3,Faro,No,Yes,4
Alcácer do Sal,4,Setúbal,No,Yes,4
Alcobaça,5,Leiria,No,No,0
Alcotim,6,Faro,No,Yes,3
Alfena,7,Porto,No,No,0
Almada,8,Setúbal,No,Yes,2
Almeirim,9,Santarém,No,No,0
Almodôvar,10,Beja,No,Yes,3
Amadora,11,Lisbon,Yes,Yes,3
Amarante,12,Porto,No,Yes,5
Anadia,13,Aveiro,No,No,0
Angra do Heroísmo,14,Azores,No,No,0
Arouca,15,Aveiro,No,Yes,4
Arraiolos,16,Évora,Yes,Yes,3
Aveiro,17,Aveiro,No,Yes,3
Avis,18,Portalegre,No,Yes,3
Baião,19,Porto,No,Yes,4
Barcelos,20,Braga,No,No,0
Barreiro,21,Setúbal,No,No,0
Batalha,22,Leiria,No,Yes,4
Beja,23,Beja,Yes,Yes,4
Bombarral,24,Leiria,No,No,0
Borba,25,Évora,No,Yes,3
Braga,26,Braga,No,Yes,3
Bragança,27,Bragança,No,Yes,3
Caldas da Rainha,28,Leiria,No,Yes,4
Cantanhede,29,Coimbra,No,No,0
Cartaxo,30,Santarém,No,No,0
Cascais,31,Lisbon,No,Yes,2
Castelo Branco,32,Castelo Branco,No,Yes,5
Castro Marim,33,Faro,No,Yes,2
Chamusca,34,Santarém,No,Yes,5
Chaves,35,Vila Real,No,Yes,3
Coimbra,36,Coimbra,No,Yes,7
Coruche,37,Santarém,No,Yes,3
Covilhã,38,Castelo Branco,No,Yes,3
Cuba,39,Évora,No,Yes,3
Elvas,40,Portalegre,No,Yes,4
Entroncamento,41,Santarém,No,No,0
Espinho,42,Aveiro,No,Yes,3
Esposende,43,Braga,No,No,0
Estarreja,44,Aveiro,No,No,0
Estoril,45,Lisbon,No,No,0
Estremoz,46,Évora,No,Yes,3
Évora,47,Évora,No,Yes,4
Fafe,48,Braga,No,No,0
Faro,49,Faro,No,Yes,3
Fátima,50,Leiria,No,No,0
Felgueiras,51,Porto,No,No,0
Ferreira do Alentejo,52,Évora,No,Yes,4
